미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
-0.777258493,-0.972221553,-0.640704418,-0.162362134,-1.136513512,-0.590430137,-0.883684872,-0.93782158,-0.226376254,0.913186796,-0.422608955,-0.788404713,-0.537846429,0.121808726,-0.240587701
-0.730159284,-0.664418074,-0.245765505,0.117884311,-0.963598503,-0.310103928,-0.702266124,-0.527540568,0.067659942,1.143801301,-0.551527175,-0.614555405,-0.282135283,0.040870773,-0.220337991
-0.847907306,-0.383412998,-0.03034428,0.447173883,-0.563368256,-0.489611062,-0.883684872,-1.41558476,0.067659942,1.559499187,-0.982958376,-0.348289622,-0.443155626,-0.041227023,-0.164181595
-0.789033295,0.022691309,0.220980482,1.091740705,-0.771254841,-0.440431025,-0.339428626,-1.181501541,-0.030352123,1.715499728,-0.520660762,-0.668030529,-0.398183508,-0.194365992,-0.145722341
-0.734869205,0.280300364,0.328691095,0.594303266,-0.031023171,-0.088793763,-0.702266124,0.177413257,0.067659942,2.360517797,-0.9136905,-0.338380445,-0.087291328,-0.499074388,-0.057499665
-0.584151736,0.790538089,0.472305245,1.343962506,0.198234931,0.080877363,-0.158009878,-0.802104956,-0.030352123,1.131148073,-0.404793399,-0.338698256,0.076204225,-0.581436948,0.000565921
-0.581796776,1.048923726,0.149173407,0.594303266,0.099148802,0.159565422,-0.158009878,-0.398065893,0.067659942,0.566279848,-0.611069309,-0.541670585,0.173396107,-0.646091125,0.046953227
-0.419304505,1.090506523,0.005559257,0.61532175,0.266235216,0.085795367,0.023408871,0.356132227,-0.030352123,0.369158245,-0.162060576,-0.62905936,0.136356636,-0.654748003,0.168616788
-0.44285411,1.103623142,-0.03034428,1.035691417,-0.153423684,0.002189305,-0.158009878,-1.080959413,-0.030352123,0.199881992,-0.421518576,-0.458108611,0.092264271,-0.677239595,0.242447016
-0.322751127,1.11991586,0.220980482,0.895568194,0.112748859,-0.083875759,0.204827619,-0.221888432,0.067659942,0.728584255,-0.124642916,-0.409167963,0.048225919,-0.590684163,0.271125251
0.004588375,1.003019112,0.220980482,2.121646389,0.122463185,-0.034695723,0.386246368,-0.100058618,0.067659942,0.665537569,-0.267442966,-0.188960671,0.125584319,-0.592901143,0.229773708
-0.193228303,0.899966668,0.149173407,0.145908955,0.104977398,0.257925495,0.023408871,-0.171322553,0.067659942,0.744872344,0.078959215,-0.248726938,0.412656494,-0.632396557,0.153359544
-0.306266404,0.802592978,0.54411232,0.356093789,0.30120679,0.410383609,0.204827619,-0.281766404,0.263684073,0.295174049,-0.401718688,0.246101618,0.587282779,-0.696360285,0.072422066
-0.131999331,0.423027382,0.220980482,0.293038339,0.318692578,0.294810523,-0.158009878,0.017033822,0.165672007,0.531343363,-0.340903059,0.16555978,0.498761079,-0.672539191,0.088302134
