,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index
2020-04-27,4804.73,11048.48,2181.5,1218.59,5340.05,12302.41,17770.78,6962.84,22956.02,20152.98,1442.751,1120.694,13808.29,2595.775,8660.4,22249.43,19067.24,2758.64
2020-04-28,4746.63,11236.16,2170.96,1221.12,5360.31,12327.21,17694.93,7058.72,23379.11,20252.9,1430.613,1143.522,13783.63,2623.439,8880.59,22679.11,19598.72,2731.56
2020-04-29,4898.55,11883.56,2223.94,1238.85,5465.57,12609.06,17923.46,7302.5,24486.7,20433,1460.104,1195.516,14312.26,2661.23,9283.15,23260.9,20275.79,2805.81
2020-04-30,4893.53,11502.95,2194.528,1216.48,5356.99,12410.91,17717.34,7119.02,23703.85,20047.29,1446.914,1156.455,14097.61,2602.308,8945.42,22688.2,19701.64,2796.16
2020-05-01,4760.22,10918.45,2139.35,1188.46,5202.18,12024.25,17277.75,6860.86,22665.93,19539.55,1420.362,1107.421,13664.13,2527.256,8550.93,21859.26,18831.81,2721.64
2020-05-02,4760.22,10918.45,2139.35,1188.46,5202.18,12024.25,17277.75,6860.86,22665.93,19539.55,1420.362,1107.421,13664.13,2527.256,8550.93,21859.26,18831.81,2721.64
2020-05-03,4760.22,10918.45,2139.35,1188.46,5202.18,12024.25,17277.75,6860.86,22665.93,19539.55,1420.362,1107.421,13664.13,2527.256,8550.93,21859.26,18831.81,2721.64
2020-05-04,4797.64,10981.56,2144.58,1189.47,5199.22,12059.53,17347.38,6869.48,22599.49,19547.48,1433.615,1108.884,13770.86,2531.209,8563.36,21794.93,18832.21,2733.45
2020-05-05,4853.42,11042.01,2167.27,1199.59,5228.07,12137.6,17526.03,6897.64,22572.3,19710.27,1452.961,1110.289,13970.95,2540.004,8507.46,21739.31,18751,2756.19
2020-05-06,4851.84,10969.72,2158.39,1181.69,5145.29,11979.47,17316.1,6799.94,22231.61,19269.6,1444.51,1083.621,13947.86,2507.68,8289.41,21268.47,18319.37,2744.62
