,NFCIADJ Index
#NAME?,0.553249
1983-11-04,-0.146665
1983-11-11,-0.107194
1983-11-18,-0.069401
1983-11-25,-0.025456
1983-12-02,0.027157
1983-12-09,0.085185
1983-12-16,0.135875
1983-12-23,0.162743
1983-12-30,0.15565
1984-01-06,0.119657
1984-01-13,0.06227
1984-01-20,-0.00397
1984-01-27,-0.066239
1984-02-03,-0.120319
1984-02-10,-0.165612
1984-02-17,-0.199971
1984-02-24,-0.222751
1984-03-02,-0.229296
1984-03-09,-0.216127
1984-03-16,-0.184049
1984-03-23,-0.13783
1984-03-30,-0.080229
1984-04-06,-0.012557
1984-04-13,0.068244
1984-04-20,0.169538
1984-04-27,0.294732
1984-05-04,0.437195
1984-05-11,0.587058
1984-05-18,0.729647
1984-05-25,0.857215
1984-06-01,0.973288
1984-06-08,1.081333
1984-06-15,1.186255
1984-06-22,1.279792
1984-06-29,1.342547
1984-07-06,1.351715
1984-07-13,1.2953
1984-07-20,1.18263
1984-07-27,1.035189
1984-08-03,0.885787
1984-08-10,0.76032
1984-08-17,0.672907
1984-08-24,0.618527
1984-08-31,0.584437
1984-09-07,0.557338
1984-09-14,0.523897
1984-09-21,0.477434
1984-09-28,0.419897
1984-10-05,0.356497
1984-10-12,0.289707
1984-10-19,0.222578
1984-10-26,0.158151
1984-11-02,0.097662
1984-11-09,0.040934
1984-11-16,-0.010453
1984-11-23,-0.053322
1984-11-30,-0.089165
1984-12-07,-0.118307
1984-12-14,-0.149758
1984-12-21,-0.189503
1984-12-28,-0.238719
1985-01-04,-0.297255
1985-01-11,-0.354638
1985-01-18,-0.397253
1985-01-25,-0.417669
1985-02-01,-0.414065
1985-02-08,-0.390751
1985-02-15,-0.359624
1985-02-22,-0.329862
1985-03-01,-0.305394
1985-03-08,-0.287481
1985-03-15,-0.274207
1985-03-22,-0.263608
1985-03-29,-0.259052
1985-04-05,-0.268288
1985-04-12,-0.29475
1985-04-19,-0.339829
1985-04-26,-0.398338
1985-05-03,-0.460226
1985-05-10,-0.518262
1985-05-17,-0.560512
1985-05-24,-0.584334
1985-05-31,-0.587645
1985-06-07,-0.568916
1985-06-14,-0.529947
1985-06-21,-0.475605
1985-06-28,-0.41132
1985-07-05,-0.345488
1985-07-12,-0.285282
1985-07-19,-0.231354
1985-07-26,-0.182532
1985-08-02,-0.135895
1985-08-09,-0.086566
1985-08-16,-0.03457
1985-08-23,0.016866
1985-08-30,0.063046
1985-09-06,0.097996
1985-09-13,0.116998
1985-09-20,0.116562
1985-09-27,0.096483
1985-10-04,0.056002
1985-10-11,-0.000554
1985-10-18,-0.066731
1985-10-25,-0.132979
1985-11-01,-0.186894
1985-11-08,-0.217365
1985-11-15,-0.218884
1985-11-22,-0.191466
1985-11-29,-0.145195
1985-12-06,-0.093569
1985-12-13,-0.04865
1985-12-20,-0.019056
1985-12-27,-0.003234
1986-01-03,-0.001481
1986-01-10,-0.009511
1986-01-17,-0.025475
1986-01-24,-0.050773
1986-01-31,-0.08715
1986-02-07,-0.128324
1986-02-14,-0.164182
1986-02-21,-0.185122
1986-02-28,-0.184538
1986-03-07,-0.163813
1986-03-14,-0.134383
1986-03-21,-0.110892
1986-03-28,-0.106889
1986-04-04,-0.129171
1986-04-11,-0.169082
1986-04-18,-0.213192
1986-04-25,-0.248356
1986-05-02,-0.261475
1986-05-09,-0.247221
1986-05-16,-0.209416
1986-05-23,-0.151171
1986-05-30,-0.077874
1986-06-06,0.005034
1986-06-13,0.091542
1986-06-20,0.170815
1986-06-27,0.229878
1986-07-04,0.258974
1986-07-11,0.251877
1986-07-18,0.205943
1986-07-25,0.127794
1986-08-01,0.029414
1986-08-08,-0.073761
1986-08-15,-0.166493
1986-08-22,-0.23275
1986-08-29,-0.263063
1986-09-05,-0.256511
1986-09-12,-0.218257
1986-09-19,-0.167469
1986-09-26,-0.119242
1986-10-03,-0.085499
1986-10-10,-0.074555
1986-10-17,-0.08304
1986-10-24,-0.101786
1986-10-31,-0.124974
1986-11-07,-0.146595
1986-11-14,-0.163269
1986-11-21,-0.170857
1986-11-28,-0.16737
1986-12-05,-0.15086
1986-12-12,-0.124641
1986-12-19,-0.093849
1986-12-26,-0.068665
1987-01-02,-0.062882
1987-01-09,-0.0764
1987-01-16,-0.102928
1987-01-23,-0.132247
1987-01-30,-0.153054
1987-02-06,-0.158683
1987-02-13,-0.151441
1987-02-20,-0.137509
1987-02-27,-0.126577
1987-03-06,-0.117214
1987-03-13,-0.096898
1987-03-20,-0.051852
1987-03-27,0.027317
1987-04-03,0.145464
1987-04-10,0.296668
1987-04-17,0.471671
1987-04-24,0.655037
1987-05-01,0.831225
1987-05-08,0.992196
1987-05-15,1.116594
1987-05-22,1.195511
1987-05-29,1.20992
1987-06-05,1.167003
1987-06-12,1.082889
1987-06-19,0.975395
1987-06-26,0.869947
1987-07-03,0.776926
1987-07-10,0.691839
1987-07-17,0.600149
1987-07-24,0.494663
1987-07-31,0.383012
1987-08-07,0.285958
1987-08-14,0.22276
1987-08-21,0.216461
1987-08-28,0.267332
1987-09-04,0.370147
1987-09-11,0.509319
1987-09-18,0.683369
